Replication,Method,Quantile_Index,Quantile_Value,Estimated_ATE,Estimated_SD_CATE,Mean_Y0,Mean_Y1
0,Linear,0,0.05,-0.7996586115764701,0.22400819418089826,26.976041521333666,26.176382909757198
0,Linear,1,0.1,-0.810975348269593,0.1999966106860168,27.327604436963032,26.516629088693442
0,Linear,2,0.15,-0.8091909688819069,0.17422768665692534,27.5723897952826,26.763198826400693
0,Linear,3,0.2,-0.7974481480175687,0.166014890558397,27.767788440230888,26.970340292213322
0,Linear,4,0.25,-0.8018760366927298,0.14404888511424963,27.939708445998757,27.13783240930603
0,Linear,5,0.3,-0.8003769557389884,0.13990575142714567,28.088892604050855,27.28851564831187
0,Linear,6,0.35,-0.801238586880671,0.1310706223835168,28.229017302601072,27.427778715720404
0,Linear,7,0.4,-0.809407081821963,0.12071421291482025,28.361272866391847,27.55186578456989
0,Linear,8,0.45,-0.8045635345584937,0.12096918959024185,28.487481451634505,27.682917917076015
0,Linear,9,0.5,-0.798059079113242,0.12445520325768973,28.609156034032004,27.811096954918764
0,Linear,10,0.55,-0.7919810989091504,0.12245813409645563,28.72951901435132,27.93753791544217
0,Linear,11,0.6,-0.793529733196624,0.12263500186743019,28.859548814213806,28.066019081017178
0,Linear,12,0.65,-0.7930734963317071,0.1254394033030413,28.987401392250238,28.194327895918533
0,Linear,13,0.7,-0.7883391829189754,0.15994567078305205,29.132563105004223,28.344223922085256
0,Linear,14,0.75,-0.7984644081430099,0.16723901374070865,29.28791752935602,28.489453121213003
0,Linear,15,0.8,-0.800736541805209,0.17712151582354171,29.456232170105928,28.655495628300713
0,Linear,16,0.85,-0.7932480037837727,0.18653520271187296,29.644884380649742,28.85163637686597
0,Linear,17,0.9,-0.7834168436378235,0.1927705542286527,29.8902052304653,29.106788386827475
0,Linear,18,0.95,-0.8142357082786845,0.23843917052689662,30.264966176074566,29.45073046779588
0,VDQR,0,0.05,-0.817446768283844,1.1832813024520874,28.599824905395508,27.782377243041992
0,VDQR,1,0.1,-0.8169451355934143,1.183207392692566,28.604904174804688,27.787961959838867
0,VDQR,2,0.15,-0.817146897315979,1.1831092834472656,28.60793685913086,27.790786743164062
0,VDQR,3,0.2,-0.8181406855583191,1.183029294013977,28.611255645751953,27.793115615844727
0,VDQR,4,0.25,-0.8182582855224609,1.1829891204833984,28.613271713256836,27.795013427734375
0,VDQR,5,0.3,-0.817513108253479,1.1828161478042603,28.614904403686523,27.797391891479492
0,VDQR,6,0.35,-0.8169612288475037,1.1828274726867676,28.61632537841797,27.799360275268555
0,VDQR,7,0.4,-0.817075788974762,1.182767391204834,28.61820411682129,27.801130294799805
0,VDQR,8,0.45,-0.8175386786460876,1.1827040910720825,28.620044708251953,27.802501678466797
0,VDQR,9,0.5,-0.8177624344825745,1.1827882528305054,28.62158203125,27.80381965637207
0,VDQR,10,0.55,-0.8182726502418518,1.182766079902649,28.62346076965332,27.805187225341797
0,VDQR,11,0.6,-0.8187840580940247,1.1828004121780396,28.625411987304688,27.80662727355957
0,VDQR,12,0.65,-0.8190129399299622,1.1827118396759033,28.62721824645996,27.808204650878906
0,VDQR,13,0.7,-0.818070650100708,1.182702660560608,28.628459930419922,27.810392379760742
0,VDQR,14,0.75,-0.8178758025169373,1.1827205419540405,28.630300521850586,27.81242561340332
0,VDQR,15,0.8,-0.8179898262023926,1.1827795505523682,28.632314682006836,27.8143253326416
0,VDQR,16,0.85,-0.8184671998023987,1.182633876800537,28.635828018188477,27.817359924316406
0,VDQR,17,0.9,-0.8182374835014343,1.182702898979187,28.63912010192871,27.820884704589844
0,VDQR,18,0.95,-0.818820059299469,1.1828175783157349,28.643701553344727,27.82488441467285
0,NQNet,0,0.05,-0.8086444735527039,1.188656210899353,28.588953018188477,27.780309677124023
0,NQNet,1,0.1,-0.8087109327316284,1.1898051500320435,28.59617805480957,27.787464141845703
0,NQNet,2,0.15,-0.8079892992973328,1.1903349161148071,28.5993595123291,27.791372299194336
0,NQNet,3,0.2,-0.8096095323562622,1.1905485391616821,28.603782653808594,27.794170379638672
0,NQNet,4,0.25,-0.8073717355728149,1.1906077861785889,28.603788375854492,27.796417236328125
0,NQNet,5,0.3,-0.808915913105011,1.1905592679977417,28.607868194580078,27.7989501953125
0,NQNet,6,0.35,-0.8089136481285095,1.1905592679977417,28.607868194580078,27.7989559173584
0,NQNet,7,0.4,-0.8093990087509155,1.1908448934555054,28.612089157104492,27.802690505981445
0,NQNet,8,0.45,-0.8093977570533752,1.1908448934555054,28.612089157104492,27.802692413330078
0,NQNet,9,0.5,-0.8071960806846619,1.1906824111938477,28.612607955932617,27.8054141998291
0,NQNet,10,0.55,-0.8111364245414734,1.1907638311386108,28.61655044555664,27.805418014526367
0,NQNet,11,0.6,-0.8075736165046692,1.1907566785812378,28.616554260253906,27.808982849121094
0,NQNet,12,0.65,-0.810868501663208,1.1908602714538574,28.61985206604004,27.808984756469727
0,NQNet,13,0.7,-0.8086311221122742,1.1908529996871948,28.620607376098633,27.81197738647461
0,NQNet,14,0.75,-0.809771716594696,1.1908454895019531,28.622365951538086,27.812591552734375
0,NQNet,15,0.8,-0.8097919821739197,1.1907682418823242,28.625242233276367,27.81545066833496
0,NQNet,16,0.85,-0.8102396726608276,1.1905676126480103,28.628267288208008,27.81802749633789
0,NQNet,17,0.9,-0.8098716139793396,1.1902296543121338,28.632038116455078,27.822168350219727
0,NQNet,18,0.95,-0.8101320862770081,1.1891907453536987,28.639179229736328,27.82904815673828
0,DQR,0,0.05,-0.810709536075592,1.0372124910354614,28.184892654418945,27.37418556213379
0,DQR,1,0.1,-0.8159945607185364,1.1315444707870483,28.545103073120117,27.729106903076172
0,DQR,2,0.15,-0.8182623982429504,1.142356038093567,28.57431983947754,27.756057739257812
0,DQR,3,0.2,-0.8190377950668335,1.1446874141693115,28.58098793029785,27.76194953918457
0,DQR,4,0.25,-0.8187955617904663,1.145677924156189,28.583831787109375,27.765037536621094
0,DQR,5,0.3,-0.8193187713623047,1.1462959051132202,28.586109161376953,27.766786575317383
0,DQR,6,0.35,-0.8195574283599854,1.1468449831008911,28.588319778442383,27.768760681152344
0,DQR,7,0.4,-0.819407045841217,1.1468849182128906,28.588397979736328,27.76898956298828
0,DQR,8,0.45,-0.8183003664016724,1.147268533706665,28.589847564697266,27.771547317504883
0,DQR,9,0.5,-0.8214634656906128,1.1475567817687988,28.5930118560791,27.771549224853516
0,DQR,10,0.55,-0.8185137510299683,1.1477245092391968,28.593015670776367,27.774499893188477
0,DQR,11,0.6,-0.8185152411460876,1.147724986076355,28.593017578125,27.774499893188477
0,DQR,12,0.65,-0.8202329874038696,1.148087978363037,28.5975341796875,27.777299880981445
0,DQR,13,0.7,-0.820232629776001,1.1480880975723267,28.5975341796875,27.777299880981445
0,DQR,14,0.75,-0.8197472095489502,1.1483917236328125,28.6012020111084,27.78145408630371
0,DQR,15,0.8,-0.8197465538978577,1.1483919620513916,28.601205825805664,27.78145980834961
0,DQR,16,0.85,-0.8189904093742371,1.148578405380249,28.605754852294922,27.786762237548828
0,DQR,17,0.9,-0.8205664157867432,1.1487692594528198,28.60979461669922,27.789230346679688
0,DQR,18,0.95,-0.8201473951339722,1.1492972373962402,28.61847686767578,27.798330307006836
0,DQRP,0,0.05,-0.7490274906158447,2.9390549659729004,28.338117599487305,27.58909034729004
0,DQRP,1,0.1,-0.7576415538787842,2.9438180923461914,28.372690200805664,27.615049362182617
0,DQRP,2,0.15,-0.7662342190742493,2.9486939907073975,28.407306671142578,27.641075134277344
0,DQRP,3,0.2,-0.7748096585273743,2.9536798000335693,28.441987991333008,27.66717529296875
0,DQRP,4,0.25,-0.7833728790283203,2.9587717056274414,28.476730346679688,27.693357467651367
0,DQRP,5,0.3,-0.7919280529022217,2.9639737606048584,28.51155662536621,27.719629287719727
0,DQRP,6,0.35,-0.8004790544509888,2.9692821502685547,28.546478271484375,27.74599838256836
0,DQRP,7,0.4,-0.8090294003486633,2.9746997356414795,28.581499099731445,27.772470474243164
0,DQRP,8,0.45,-0.8175827860832214,2.980220079421997,28.61663818359375,27.799055099487305
0,DQRP,9,0.5,-0.826143205165863,2.9858500957489014,28.65190315246582,27.825759887695312
